Genes,PTM.ModificationTitle,Comparison (group1/group2),N_sites,PTM_log2FC,Protein_log2FC,Corrected_log2FC,Abs_corrected_log2FC,Pvalue,Correction_class
PYCARD,Trimethyl (K),LPS+Nigericin / Unstim,1,0.921,0.601,0.32,0.32,0.4674,Substantially reduced
IL1B,Sulfo (STY),LPS+Nigericin / Unstim,5,0.615,0.665,-0.05,0.269,0.4677,Substantially reduced
HSP90AA1,Trimethyl (K),LPS / Unstim,2,-0.358,-0.365,0.007,0.083,0.4709,Direction reversed
HSPA8,Oxidation (W),LPS+Nigericin / Unstim,1,-0.329,-0.515,0.185,0.185,0.4731,Direction reversed
CASP1,Nitrosyl,LPS+Nigericin / Unstim,1,-1.341,-0.518,-0.823,0.823,0.4779,Robust after correction
HSPA8,Phospho (STY),P3C4 / Unstim,4,-0.09,0.01,-0.1,0.377,0.4796,Protein stable
HSPA8,Phospho (STY),LPS+Nigericin / LPS,4,0.079,-0.216,0.295,0.322,0.4845,Protein stable
HSPA8,GlyGly (K),LPS+Nigericin / Unstim,2,0.629,-0.515,1.144,1.144,0.4974,Robust after correction
HSPA8,HexNAc (ST),P3C4+Nigericin / Unstim,4,1.96,-0.871,2.831,2.831,0.4991,Robust after correction
PYCARD,Phospho (STY),LPS+Nigericin / LPS,1,1.004,0.197,0.807,0.807,0.5152,Protein stable
PYCARD,Sulfo (STY),LPS+Nigericin / Unstim,1,0.98,0.601,0.38,0.38,0.5221,Substantially reduced
HSP90AB1,Sulfo (STY),P3C4 / Unstim,1,0.19,-0.059,0.248,0.248,0.5261,Protein stable
IL1B,Trimethyl (K),LPS / Unstim,2,1.376,1.586,-0.211,0.211,0.5262,Direction reversed
HSP90AA1,Phospho (STY),LPS / Unstim,1,0.213,-0.365,0.578,0.578,0.5376,Robust after correction
HSP90AB1,Acetyl (K),P3C4 / Unstim,2,0.446,-0.059,0.504,0.508,0.5441,Protein stable
HSP90AA1,Sulfo (STY),LPS+Nigericin / LPS,2,-0.584,-0.355,-0.229,0.313,0.5447,Robust after correction
PPP2CA,Trimethyl (K),P3C4 / Unstim,1,-0.397,-0.127,-0.27,0.27,0.5527,Protein stable
GSDMD,Oxidation (W),LPS+Nigericin / Unstim,1,0.899,0.135,0.764,0.764,0.5539,Protein stable
PPP2CA,Trimethyl (K),LPS+Nigericin / Unstim,1,-0.399,-0.741,0.342,0.342,0.5627,Direction reversed
PYCARD,Phospho (STY),LPS+Nigericin / Unstim,1,0.668,0.601,0.067,0.067,0.5761,Substantially reduced
HSP90AB1,Phospho (STY),P3C4 / Unstim,1,-0.35,-0.059,-0.291,0.291,0.5768,Protein stable
GSDMD,Nitrosyl,P3C4 / Unstim,2,-0.215,0.219,-0.434,0.434,0.5783,Protein stable
HSP90AB1,Hex (K),P3C4+Nigericin / Unstim,1,-1.529,-0.98,-0.549,0.549,0.5886,Substantially reduced
CASP1,Nitrosyl,P3C4+Nigericin / P3C4,1,-0.854,-1.037,0.183,0.183,0.5895,Direction reversed
HSP90AA1,Hex (K),LPS+Nigericin / LPS,2,-0.351,-0.355,0.004,0.152,0.5964,Direction reversed
HSP90AB1,Crotonyl,P3C4 / Unstim,3,0.137,-0.059,0.195,0.387,0.599,Protein stable
PYCARD,Sulfo (STY),P3C4+Nigericin / P3C4,1,-0.472,0.116,-0.587,0.587,0.6015,Protein stable
HSP90AB1,Myristoyl,LPS+Nigericin / LPS,1,-0.228,-0.359,0.131,0.131,0.6217,Direction reversed
HSP90AB1,Trimethyl (K),P3C4 / Unstim,2,0.247,-0.059,0.306,0.306,0.6259,Protein stable
CASP1,Nitrosyl,P3C4 / Unstim,1,0.627,0.317,0.31,0.31,0.6398,Substantially reduced
GSDMD,Nitrosyl,LPS+Nigericin / LPS,2,0.546,0.244,0.303,0.487,0.6544,Protein stable
HSPA8,Oxidation (W),LPS / Unstim,1,-0.166,-0.299,0.132,0.132,0.6644,Protein stable
HSP90AB1,Sulfo (STY),LPS+Nigericin / Unstim,1,-0.256,-0.696,0.44,0.44,0.6657,Direction reversed
IL1B,Nitrosyl,LPS+Nigericin / Unstim,1,0.562,0.665,-0.103,0.103,0.6676,Direction reversed
